"Inter-edge Weight MLN","Measurement","0.1","0.2","0.3","0.4","0.5"
"0.5","at","0.5482","0.5465","0.548","0.5427","0.5321"
"0.5","dg","0.5536","0.5415","0.5472","0.545","0.5437"
"0.5","gaccs","0.5532","0.5476","0.5512","0.5489","0.5526"
"0.5","pr","0.5585","0.5525","0.5476","0.5465","0.552"
"0.5","pr_w","0.558","0.558","0.558","0.558","0.558"
"0.5","sp","0.5524","0.5485","0.5531","0.5364","0.5506"
"0.5","sp_w","0.5613","0.5613","0.5613","0.5613","0.5613"
"0.5","stg","0.5536","0.5536","0.5536","0.5536","0.5536"
"0.6","at","0.55","0.5536","0.5455","0.5475","0.5383"
"0.6","dg","0.5567","0.5446","0.56","0.556","0.5482"
"0.6","gaccs","0.555","0.5437","0.5589","0.5641","0.5537"
"0.6","pr","0.5578","0.5567","0.5585","0.5524","0.5535"
"0.6","pr_w","0.5575","0.5575","0.5575","0.5575","0.5575"
"0.6","sp","0.5542","0.5477","0.56","0.5463","0.556"
"0.6","sp_w","0.5614","0.5614","0.5614","0.5614","0.5614"
"0.6","stg","0.5573","0.5573","0.5573","0.5573","0.5573"
"0.7","at","0.5533","0.5523","0.5471","0.5485","0.5443"
"0.7","dg","0.5535","0.555","0.5597","0.5567","0.5432"
"0.7","gaccs","0.552","0.5577","0.5601","0.5531","0.5447"
"0.7","pr","0.5545","0.5525","0.5631","0.5534","0.547"
"0.7","pr_w","0.556","0.556","0.556","0.556","0.556"
"0.7","sp","0.554","0.5604","0.5555","0.5548","0.5623"
"0.7","sp_w","0.5601","0.5601","0.5601","0.5601","0.5601"
"0.7","stg","0.5572","0.5572","0.5572","0.5572","0.5572"
"0.8","at","0.552","0.5575","0.553","0.5534","0.5562"
"0.8","dg","0.5493","0.5605","0.561","0.562","0.5547"
"0.8","gaccs","0.5513","0.5622","0.5591","0.5565","0.5572"
"0.8","pr","0.5495","0.5636","0.5525","0.555","0.5588"
"0.8","pr_w","0.5508","0.5508","0.5508","0.5508","0.5508"
"0.8","sp","0.5538","0.5634","0.563","0.5535","0.5625"
"0.8","sp_w","0.5584","0.5584","0.5584","0.5584","0.5584"
"0.8","stg","0.5632","0.5632","0.5632","0.5632","0.5632"
"0.9","at","0.5539","0.5553","0.5593","0.5549","0.5476"
"0.9","dg","0.5483","0.5599","0.5618","0.557","0.5547"
"0.9","gaccs","0.5536","0.5668","0.5653","0.5596","0.545"
"0.9","pr","0.5465","0.5629","0.5642","0.5492","0.5543"
"0.9","pr_w","0.5513","0.5513","0.5513","0.5513","0.5513"
"0.9","sp","0.5532","0.5664","0.5675","0.5545","0.5442"
"0.9","sp_w","0.5602","0.5602","0.5602","0.5602","0.5602"
"0.9","stg","0.5553","0.5553","0.5553","0.5553","0.5553"
